depmap_id,cell_line_name,ccle_name,tissue,pubchem_id,drug_name,cell_idx,drug_idx,pred_logIC50,true_logIC50,has_true_IC50
ACH-000720,TCCSUP,TCCSUP_URINARY_TRACT,URINARY_TRACT,11455910,TW 37,369,16,2.1355886459350586,,False
ACH-000522,UM-UC-3,UMUC3_URINARY_TRACT,URINARY_TRACT,9936746,OTX015,263,165,2.1424007415771484,,False
ACH-000802,BFTC-905,BFTC905_URINARY_TRACT,URINARY_TRACT,5494449,Tozasertib,411,119,2.166215419769287,,False
ACH-000973,639-V,639V_URINARY_TRACT,URINARY_TRACT,16095342,GSK269962A,513,36,2.1810038089752197,,False
ACH-000973,639-V,639V_URINARY_TRACT,URINARY_TRACT,637858,Piperlongumine,513,133,2.1844348907470703,,False
ACH-000473,RT-112,RT112_URINARY_TRACT,URINARY_TRACT,16095342,GSK269962A,240,36,2.202514886856079,,False
ACH-000242,RT4,RT4_URINARY_TRACT,URINARY_TRACT,11455910,TW 37,116,16,2.2067294120788574,,False
ACH-000802,BFTC-905,BFTC905_URINARY_TRACT,URINARY_TRACT,637858,Piperlongumine,411,133,2.2105748653411865,,False
ACH-000896,647-V,647V_URINARY_TRACT,URINARY_TRACT,11455910,TW 37,467,16,2.2304399013519287,,False
ACH-000473,RT-112,RT112_URINARY_TRACT,URINARY_TRACT,54685215,IOX2,240,117,2.2418136596679688,,False
ACH-000473,RT-112,RT112_URINARY_TRACT,URINARY_TRACT,44137675,AZD6482,240,82,2.248314619064331,,False
ACH-000142,CAL-29,CAL29_URINARY_TRACT,URINARY_TRACT,16095342,GSK269962A,66,36,2.255821466445923,,False
ACH-000973,639-V,639V_URINARY_TRACT,URINARY_TRACT,10077147,BX795,513,0,2.262590169906616,,False
ACH-000142,CAL-29,CAL29_URINARY_TRACT,URINARY_TRACT,637858,Piperlongumine,66,133,2.306243896484375,,False
ACH-000473,RT-112,RT112_URINARY_TRACT,URINARY_TRACT,5494449,Tozasertib,240,119,2.340507984161377,,False
ACH-000973,639-V,639V_URINARY_TRACT,URINARY_TRACT,54685215,IOX2,513,117,2.3714499473571777,,False
ACH-000384,SW 780,SW780_URINARY_TRACT,URINARY_TRACT,637858,Piperlongumine,195,133,2.3908567428588867,,False
ACH-000522,UM-UC-3,UMUC3_URINARY_TRACT,URINARY_TRACT,54685215,IOX2,263,117,2.392350435256958,,False
ACH-000486,KU-19-19,KU1919_URINARY_TRACT,URINARY_TRACT,54685215,IOX2,248,117,2.4315619468688965,,False
ACH-000486,KU-19-19,KU1919_URINARY_TRACT,URINARY_TRACT,16095342,GSK269962A,248,36,2.436460494995117,,False
ACH-000018,T24,T24_URINARY_TRACT,URINARY_TRACT,6253,Cytarabine,7,132,2.490931749343872,,False
ACH-000905,5637,5637_URINARY_TRACT,URINARY_TRACT,637858,Piperlongumine,470,133,2.5015459060668945,,False
ACH-000486,KU-19-19,KU1919_URINARY_TRACT,URINARY_TRACT,44137675,AZD6482,248,82,2.518446922302246,,False
ACH-000142,CAL-29,CAL29_URINARY_TRACT,URINARY_TRACT,10077147,BX795,66,0,2.5400917530059814,,False
ACH-000802,BFTC-905,BFTC905_URINARY_TRACT,URINARY_TRACT,54685215,IOX2,411,117,2.5441629886627197,,False
ACH-000142,CAL-29,CAL29_URINARY_TRACT,URINARY_TRACT,54685215,IOX2,66,117,2.54659366607666,,False
ACH-000905,5637,5637_URINARY_TRACT,URINARY_TRACT,54685215,IOX2,470,117,2.5468626022338867,,False
ACH-000384,SW 780,SW780_URINARY_TRACT,URINARY_TRACT,54685215,IOX2,195,117,2.5522379875183105,,False
ACH-000486,KU-19-19,KU1919_URINARY_TRACT,URINARY_TRACT,10077147,BX795,248,0,2.569121837615967,,False
ACH-000396,J82,J82_URINARY_TRACT,URINARY_TRACT,637858,Piperlongumine,200,133,2.5785253047943115,,False
ACH-000396,J82,J82_URINARY_TRACT,URINARY_TRACT,10077147,BX795,200,0,2.5846123695373535,,False
ACH-000396,J82,J82_URINARY_TRACT,URINARY_TRACT,16095342,GSK269962A,200,36,2.5979373455047607,,False
ACH-000522,UM-UC-3,UMUC3_URINARY_TRACT,URINARY_TRACT,16095342,GSK269962A,263,36,2.6150617599487305,,False
ACH-000566,SW-1710,SW1710_URINARY_TRACT,URINARY_TRACT,10077147,BX795,284,0,2.6195125579833984,,False
ACH-000566,SW-1710,SW1710_URINARY_TRACT,URINARY_TRACT,16095342,GSK269962A,284,36,2.6389496326446533,,False
ACH-000142,CAL-29,CAL29_URINARY_TRACT,URINARY_TRACT,5494449,Tozasertib,66,119,2.655142307281494,,False
ACH-000522,UM-UC-3,UMUC3_URINARY_TRACT,URINARY_TRACT,10077147,BX795,263,0,2.656219482421875,,False
ACH-000566,SW-1710,SW1710_URINARY_TRACT,URINARY_TRACT,637858,Piperlongumine,284,133,2.6646950244903564,,False
ACH-000242,RT4,RT4_URINARY_TRACT,URINARY_TRACT,54685215,IOX2,116,117,2.67038893699646,,False
ACH-000802,BFTC-905,BFTC905_URINARY_TRACT,URINARY_TRACT,16095342,GSK269962A,411,36,2.6874442100524902,,False
ACH-000396,J82,J82_URINARY_TRACT,URINARY_TRACT,54685215,IOX2,200,117,2.7010128498077393,,False
ACH-000142,CAL-29,CAL29_URINARY_TRACT,URINARY_TRACT,44137675,AZD6482,66,82,2.7600769996643066,,False
ACH-000802,BFTC-905,BFTC905_URINARY_TRACT,URINARY_TRACT,10077147,BX795,411,0,2.7754385471343994,,False
ACH-000384,SW 780,SW780_URINARY_TRACT,URINARY_TRACT,16095342,GSK269962A,195,36,2.7844855785369873,,False
ACH-000905,5637,5637_URINARY_TRACT,URINARY_TRACT,10077147,BX795,470,0,2.78804612159729,,False
ACH-000473,RT-112,RT112_URINARY_TRACT,URINARY_TRACT,10077147,BX795,240,0,2.8063838481903076,,False
ACH-000905,5637,5637_URINARY_TRACT,URINARY_TRACT,16095342,GSK269962A,470,36,2.8088479042053223,,False
ACH-000384,SW 780,SW780_URINARY_TRACT,URINARY_TRACT,5494449,Tozasertib,195,119,2.846376419067383,,False
ACH-000396,J82,J82_URINARY_TRACT,URINARY_TRACT,5494449,Tozasertib,200,119,2.879284620285034,,False
ACH-000522,UM-UC-3,UMUC3_URINARY_TRACT,URINARY_TRACT,2155128,IWP-2,263,43,2.9499547481536865,,False
ACH-000522,UM-UC-3,UMUC3_URINARY_TRACT,URINARY_TRACT,71268957,GSK343,263,145,2.951077938079834,,False
ACH-000384,SW 780,SW780_URINARY_TRACT,URINARY_TRACT,44137675,AZD6482,195,82,2.953970432281494,,False
ACH-000896,647-V,647V_URINARY_TRACT,URINARY_TRACT,54685215,IOX2,467,117,2.955320358276367,,False
ACH-000566,SW-1710,SW1710_URINARY_TRACT,URINARY_TRACT,54685215,IOX2,284,117,2.962127447128296,,False
ACH-000242,RT4,RT4_URINARY_TRACT,URINARY_TRACT,637858,Piperlongumine,116,133,2.9675230979919434,,False
ACH-000547,HT-1197,HT1197_URINARY_TRACT,URINARY_TRACT,44631912,Ribociclib,273,87,3.0008254051208496,,False
ACH-000547,HT-1197,HT1197_URINARY_TRACT,URINARY_TRACT,9858940,SB505124,273,159,3.0315332412719727,,False
ACH-000720,TCCSUP,TCCSUP_URINARY_TRACT,URINARY_TRACT,54685215,IOX2,369,117,3.0345377922058105,,False
ACH-000522,UM-UC-3,UMUC3_URINARY_TRACT,URINARY_TRACT,46943432,I-BET-762,263,98,3.0549354553222656,,False
ACH-000720,TCCSUP,TCCSUP_URINARY_TRACT,URINARY_TRACT,637858,Piperlongumine,369,133,3.0571377277374268,,False
ACH-000384,SW 780,SW780_URINARY_TRACT,URINARY_TRACT,10077147,BX795,195,0,3.0868656635284424,,False
ACH-000473,RT-112,RT112_URINARY_TRACT,URINARY_TRACT,9858940,SB505124,240,159,3.0892374515533447,,False
ACH-000896,647-V,647V_URINARY_TRACT,URINARY_TRACT,637858,Piperlongumine,467,133,3.0931556224823,,False
ACH-000720,TCCSUP,TCCSUP_URINARY_TRACT,URINARY_TRACT,10077147,BX795,369,0,3.1093339920043945,,False
ACH-000896,647-V,647V_URINARY_TRACT,URINARY_TRACT,10077147,BX795,467,0,3.118704319000244,,False
ACH-000522,UM-UC-3,UMUC3_URINARY_TRACT,URINARY_TRACT,59472121,VE-822,263,127,3.1216585636138916,,False
ACH-000018,T24,T24_URINARY_TRACT,URINARY_TRACT,992586,UMI-77,7,161,3.1411449909210205,,False
ACH-000905,5637,5637_URINARY_TRACT,URINARY_TRACT,5494449,Tozasertib,470,119,3.160449743270874,,False
ACH-000473,RT-112,RT112_URINARY_TRACT,URINARY_TRACT,51371303,PF-4708671,240,105,3.2022409439086914,,False
ACH-000522,UM-UC-3,UMUC3_URINARY_TRACT,URINARY_TRACT,51042438,Uprosertib,263,104,3.2036828994750977,,False
ACH-000896,647-V,647V_URINARY_TRACT,URINARY_TRACT,16095342,GSK269962A,467,36,3.2073893547058105,,False
ACH-000242,RT4,RT4_URINARY_TRACT,URINARY_TRACT,16095342,GSK269962A,116,36,3.2209322452545166,,False
ACH-000522,UM-UC-3,UMUC3_URINARY_TRACT,URINARY_TRACT,9813758,BMS-345541,263,156,3.2222228050231934,,False
ACH-000522,UM-UC-3,UMUC3_URINARY_TRACT,URINARY_TRACT,44462758,PRT062607,263,84,3.2532148361206055,,False
ACH-000547,HT-1197,HT1197_URINARY_TRACT,URINARY_TRACT,51371303,PF-4708671,273,105,3.2601654529571533,,False
ACH-000720,TCCSUP,TCCSUP_URINARY_TRACT,URINARY_TRACT,16095342,GSK269962A,369,36,3.2709543704986572,,False
ACH-000802,BFTC-905,BFTC905_URINARY_TRACT,URINARY_TRACT,44137675,AZD6482,411,82,3.3172333240509033,,False
ACH-000802,BFTC-905,BFTC905_URINARY_TRACT,URINARY_TRACT,9858940,SB505124,411,159,3.4096262454986572,,False
ACH-000384,SW 780,SW780_URINARY_TRACT,URINARY_TRACT,51371303,PF-4708671,195,105,3.4581897258758545,,False
ACH-000905,5637,5637_URINARY_TRACT,URINARY_TRACT,9858940,SB505124,470,159,3.4847183227539062,,False
ACH-000566,SW-1710,SW1710_URINARY_TRACT,URINARY_TRACT,44137675,AZD6482,284,82,3.492924213409424,,False
ACH-000896,647-V,647V_URINARY_TRACT,URINARY_TRACT,5494449,Tozasertib,467,119,3.4976742267608643,,False
ACH-000486,KU-19-19,KU1919_URINARY_TRACT,URINARY_TRACT,9858940,SB505124,248,159,3.5033199787139893,,False
ACH-000142,CAL-29,CAL29_URINARY_TRACT,URINARY_TRACT,51371303,PF-4708671,66,105,3.5059266090393066,,False
ACH-000384,SW 780,SW780_URINARY_TRACT,URINARY_TRACT,9858940,SB505124,195,159,3.5278501510620117,,False
ACH-000802,BFTC-905,BFTC905_URINARY_TRACT,URINARY_TRACT,51371303,PF-4708671,411,105,3.52847957611084,,False
ACH-000242,RT4,RT4_URINARY_TRACT,URINARY_TRACT,51371303,PF-4708671,116,105,3.546856164932251,,False
ACH-000142,CAL-29,CAL29_URINARY_TRACT,URINARY_TRACT,9858940,SB505124,66,159,3.548305034637451,,False
ACH-000242,RT4,RT4_URINARY_TRACT,URINARY_TRACT,10077147,BX795,116,0,3.564049243927002,,False
ACH-000486,KU-19-19,KU1919_URINARY_TRACT,URINARY_TRACT,51371303,PF-4708671,248,105,3.582979679107666,,False
ACH-000973,639-V,639V_URINARY_TRACT,URINARY_TRACT,51371303,PF-4708671,513,105,3.5890259742736816,,False
ACH-000720,TCCSUP,TCCSUP_URINARY_TRACT,URINARY_TRACT,5494449,Tozasertib,369,119,3.5925798416137695,,False
ACH-000396,J82,J82_URINARY_TRACT,URINARY_TRACT,44137675,AZD6482,200,82,3.5952184200286865,,False
ACH-000905,5637,5637_URINARY_TRACT,URINARY_TRACT,51371303,PF-4708671,470,105,3.615636110305786,,False
ACH-000905,5637,5637_URINARY_TRACT,URINARY_TRACT,44137675,AZD6482,470,82,3.651008129119873,,False
ACH-000242,RT4,RT4_URINARY_TRACT,URINARY_TRACT,44137675,AZD6482,116,82,3.6682796478271484,,False
ACH-000973,639-V,639V_URINARY_TRACT,URINARY_TRACT,44137675,AZD6482,513,82,3.7275381088256836,,False
ACH-000896,647-V,647V_URINARY_TRACT,URINARY_TRACT,44137675,AZD6482,467,82,3.728431224822998,,False
ACH-000018,T24,T24_URINARY_TRACT,URINARY_TRACT,84691,Cisplatin,7,154,3.7303333282470703,,False
ACH-000522,UM-UC-3,UMUC3_URINARY_TRACT,URINARY_TRACT,44137675,AZD6482,263,82,3.741624116897583,,False
ACH-000242,RT4,RT4_URINARY_TRACT,URINARY_TRACT,9858940,SB505124,116,159,3.753509283065796,,False
ACH-000522,UM-UC-3,UMUC3_URINARY_TRACT,URINARY_TRACT,51371303,PF-4708671,263,105,3.772660732269287,,False
ACH-000522,UM-UC-3,UMUC3_URINARY_TRACT,URINARY_TRACT,59473233,Entospletinib,263,128,3.8021748065948486,,False
ACH-000973,639-V,639V_URINARY_TRACT,URINARY_TRACT,9858940,SB505124,513,159,3.816340684890747,,False
ACH-000396,J82,J82_URINARY_TRACT,URINARY_TRACT,51371303,PF-4708671,200,105,3.834845542907715,,False
ACH-000396,J82,J82_URINARY_TRACT,URINARY_TRACT,9858940,SB505124,200,159,3.8486852645874023,,False
ACH-000018,T24,T24_URINARY_TRACT,URINARY_TRACT,5460769,Bleomycin (50 uM),7,116,3.8623688220977783,,False
ACH-000242,RT4,RT4_URINARY_TRACT,URINARY_TRACT,5494449,Tozasertib,116,119,3.8688342571258545,,False
ACH-000522,UM-UC-3,UMUC3_URINARY_TRACT,URINARY_TRACT,9858940,SB505124,263,159,3.894026279449463,,False
ACH-000720,TCCSUP,TCCSUP_URINARY_TRACT,URINARY_TRACT,44137675,AZD6482,369,82,3.9421815872192383,,False
ACH-000566,SW-1710,SW1710_URINARY_TRACT,URINARY_TRACT,9858940,SB505124,284,159,3.957709789276123,,False
ACH-000522,UM-UC-3,UMUC3_URINARY_TRACT,URINARY_TRACT,53469448,GSK2606414,263,114,3.9801583290100098,,False
ACH-000547,HT-1197,HT1197_URINARY_TRACT,URINARY_TRACT,9956119,CHIR-99021,273,168,4.072378158569336,,False
ACH-000522,UM-UC-3,UMUC3_URINARY_TRACT,URINARY_TRACT,72200024,WZ4003,263,150,4.0794358253479,,False
ACH-000720,TCCSUP,TCCSUP_URINARY_TRACT,URINARY_TRACT,51371303,PF-4708671,369,105,4.10558557510376,,False
ACH-000566,SW-1710,SW1710_URINARY_TRACT,URINARY_TRACT,51371303,PF-4708671,284,105,4.113306522369385,,False
ACH-000896,647-V,647V_URINARY_TRACT,URINARY_TRACT,9858940,SB505124,467,159,4.125443935394287,,False
ACH-000720,TCCSUP,TCCSUP_URINARY_TRACT,URINARY_TRACT,9858940,SB505124,369,159,4.160102844238281,,False
ACH-000896,647-V,647V_URINARY_TRACT,URINARY_TRACT,51371303,PF-4708671,467,105,4.167849063873291,,False
ACH-000522,UM-UC-3,UMUC3_URINARY_TRACT,URINARY_TRACT,24958200,Niraparib,263,60,4.174076557159424,,False
ACH-000242,RT4,RT4_URINARY_TRACT,URINARY_TRACT,10459196,SL0101,116,6,4.238154411315918,,False
ACH-000473,RT-112,RT112_URINARY_TRACT,URINARY_TRACT,10459196,SL0101,240,6,4.280279636383057,,False
ACH-000973,639-V,639V_URINARY_TRACT,URINARY_TRACT,117072552,GSK591,513,26,4.315720081329346,,False
ACH-000486,KU-19-19,KU1919_URINARY_TRACT,URINARY_TRACT,9956119,CHIR-99021,248,168,4.341460704803467,,False
ACH-000522,UM-UC-3,UMUC3_URINARY_TRACT,URINARY_TRACT,35397514,OF-1,263,74,4.360324382781982,,False
ACH-000547,HT-1197,HT1197_URINARY_TRACT,URINARY_TRACT,2375,Bicalutamide,273,49,4.383307456970215,,False
ACH-000547,HT-1197,HT1197_URINARY_TRACT,URINARY_TRACT,10459196,SL0101,273,6,4.407659530639648,,False
ACH-000522,UM-UC-3,UMUC3_URINARY_TRACT,URINARY_TRACT,52918385,PRIMA-1MET,263,108,4.413549423217773,,False
ACH-000522,UM-UC-3,UMUC3_URINARY_TRACT,URINARY_TRACT,24753719,PCI-34051,263,53,4.4183855056762695,,False
ACH-000473,RT-112,RT112_URINARY_TRACT,URINARY_TRACT,2375,Bicalutamide,240,49,4.429186820983887,,False
ACH-000522,UM-UC-3,UMUC3_URINARY_TRACT,URINARY_TRACT,57519544,Wnt-C59,263,126,4.439426422119141,,False
ACH-000522,UM-UC-3,UMUC3_URINARY_TRACT,URINARY_TRACT,71299339,AGI-6780,263,148,4.445161819458008,,False
ACH-000384,SW 780,SW780_URINARY_TRACT,URINARY_TRACT,10459196,SL0101,195,6,4.449011325836182,,False
ACH-000522,UM-UC-3,UMUC3_URINARY_TRACT,URINARY_TRACT,73555129,KRAS (G12C) Inhibitor-12,263,151,4.479821681976318,,False
ACH-000242,RT4,RT4_URINARY_TRACT,URINARY_TRACT,2375,Bicalutamide,116,49,4.486591815948486,,False
ACH-000547,HT-1197,HT1197_URINARY_TRACT,URINARY_TRACT,444795,Tretinoin,273,86,4.524762153625488,,False
ACH-000473,RT-112,RT112_URINARY_TRACT,URINARY_TRACT,444795,Tretinoin,240,86,4.530482769012451,,False
ACH-000486,KU-19-19,KU1919_URINARY_TRACT,URINARY_TRACT,10459196,SL0101,248,6,4.562471389770508,,False
ACH-000486,KU-19-19,KU1919_URINARY_TRACT,URINARY_TRACT,2375,Bicalutamide,248,49,4.596111297607422,,False
ACH-000522,UM-UC-3,UMUC3_URINARY_TRACT,URINARY_TRACT,60167849,ML323,263,129,4.625906944274902,,False
ACH-000384,SW 780,SW780_URINARY_TRACT,URINARY_TRACT,2375,Bicalutamide,195,49,4.630815505981445,,False
ACH-000242,RT4,RT4_URINARY_TRACT,URINARY_TRACT,444795,Tretinoin,116,86,4.644927501678467,,False
ACH-000473,RT-112,RT112_URINARY_TRACT,URINARY_TRACT,9956119,CHIR-99021,240,168,4.649747848510742,,False
ACH-000142,CAL-29,CAL29_URINARY_TRACT,URINARY_TRACT,10459196,SL0101,66,6,4.659626483917236,,False
ACH-000486,KU-19-19,KU1919_URINARY_TRACT,URINARY_TRACT,444795,Tretinoin,248,86,4.6708478927612305,,False
ACH-000522,UM-UC-3,UMUC3_URINARY_TRACT,URINARY_TRACT,24821094,Ibrutinib,263,57,4.71769380569458,,False
ACH-000802,BFTC-905,BFTC905_URINARY_TRACT,URINARY_TRACT,10459196,SL0101,411,6,4.737915992736816,,False
ACH-000384,SW 780,SW780_URINARY_TRACT,URINARY_TRACT,444795,Tretinoin,195,86,4.760842323303223,,False
ACH-000905,5637,5637_URINARY_TRACT,URINARY_TRACT,10459196,SL0101,470,6,4.798650741577148,,False
ACH-000522,UM-UC-3,UMUC3_URINARY_TRACT,URINARY_TRACT,9956119,CHIR-99021,263,168,4.800243377685547,,False
ACH-000522,UM-UC-3,UMUC3_URINARY_TRACT,URINARY_TRACT,2375,Bicalutamide,263,49,4.822495460510254,,False
ACH-000973,639-V,639V_URINARY_TRACT,URINARY_TRACT,2375,Bicalutamide,513,49,4.831027507781982,,False
ACH-000522,UM-UC-3,UMUC3_URINARY_TRACT,URINARY_TRACT,2802462,MN-64,263,68,4.833523273468018,,False
ACH-000142,CAL-29,CAL29_URINARY_TRACT,URINARY_TRACT,2375,Bicalutamide,66,49,4.836482048034668,,False
ACH-000905,5637,5637_URINARY_TRACT,URINARY_TRACT,2375,Bicalutamide,470,49,4.846147537231445,,False
ACH-000522,UM-UC-3,UMUC3_URINARY_TRACT,URINARY_TRACT,25126798,Ruxolitinib,263,64,4.8546905517578125,,False
ACH-000522,UM-UC-3,UMUC3_URINARY_TRACT,URINARY_TRACT,24737642,LCL161,263,52,4.855575084686279,,False
ACH-000973,639-V,639V_URINARY_TRACT,URINARY_TRACT,9956119,CHIR-99021,513,168,4.874860763549805,,False
ACH-000384,SW 780,SW780_URINARY_TRACT,URINARY_TRACT,9956119,CHIR-99021,195,168,4.8755340576171875,,False
ACH-000802,BFTC-905,BFTC905_URINARY_TRACT,URINARY_TRACT,2375,Bicalutamide,411,49,4.883589267730713,,False
ACH-000973,639-V,639V_URINARY_TRACT,URINARY_TRACT,10459196,SL0101,513,6,4.894412040710449,,False
ACH-000566,SW-1710,SW1710_URINARY_TRACT,URINARY_TRACT,9956119,CHIR-99021,284,168,4.916659355163574,,False
