depmap_id,row,tissue,primary_split
ACH-000201,132,SOFT_TISSUE,train or val
ACH-000950,133,LARGE_INTESTINE,train or val
ACH-000966,134,OVARY,train or val
ACH-000663,135,OVARY,train or val
ACH-000997,136,LARGE_INTESTINE,train or val
ACH-000046,137,KIDNEY,train or val
ACH-000411,138,KIDNEY,train or val
ACH-000457,139,KIDNEY,train or val
ACH-000433,140,KIDNEY,train or val
ACH-000857,141,BREAST,train or val
ACH-000890,142,LUNG,train or val
ACH-000535,143,PANCREAS,train or val
ACH-000231,144,CENTRAL_NERVOUS_SYSTEM,train or val
ACH-000527,145,OVARY,train or val
ACH-000351,146,STOMACH,train or val
ACH-001306,147,THYROID,train or val
ACH-000478,148,LIVER,train or val
ACH-000493,149,LIVER,train or val
ACH-000566,150,URINARY_TRACT,held out
ACH-000976,151,BILIARY_TRACT,held out
ACH-000587,152,LUNG,train or val
ACH-000860,153,LUNG,train or val
ACH-000955,154,LARGE_INTESTINE,train or val
ACH-000473,155,URINARY_TRACT,train or val
ACH-000364,156,BONE,train or val
ACH-000881,157,SKIN,train or val
ACH-000968,158,SKIN,train or val
ACH-000347,159,PANCREAS,train or val
ACH-000496,160,LUNG,train or val
ACH-000596,161,LUNG,train or val
ACH-000748,162,BONE,train or val
ACH-000987,163,SKIN,train or val
ACH-000694,164,OESOPHAGUS,train or val
ACH-000381,165,LARGE_INTESTINE,train or val
ACH-000343,166,LUNG,train or val
ACH-000882,167,SKIN,train or val
ACH-000790,168,LUNG,train or val
ACH-000384,169,URINARY_TRACT,train or val
ACH-000945,170,LUNG,train or val
ACH-000522,171,URINARY_TRACT,train or val
ACH-000359,172,BONE,train or val
ACH-000292,173,LUNG,train or val
ACH-000361,174,LIVER,train or val
ACH-000974,175,ENDOMETRIUM,held out
ACH-000693,176,OESOPHAGUS,train or val
ACH-000621,177,BREAST,train or val
ACH-000183,178,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000821,179,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000221,180,LIVER,train or val
ACH-000969,181,LARGE_INTESTINE,train or val
ACH-000965,182,ENDOMETRIUM,train or val
ACH-000570,183,CENTRAL_NERVOUS_SYSTEM,train or val
ACH-000619,184,UPPER_AERODIGESTIVE_TRACT,held out
ACH-000318,185,OESOPHAGUS,train or val
ACH-000067,186,CENTRAL_NERVOUS_SYSTEM,train or val
ACH-000688,187,OVARY,train or val
ACH-000521,188,LUNG,train or val
ACH-000416,189,LUNG,train or val
ACH-000378,190,LUNG,train or val
ACH-000463,191,LUNG,held out
ACH-000929,192,LUNG,train or val
ACH-000589,193,LUNG,train or val
ACH-000886,194,LUNG,train or val
ACH-000062,195,LUNG,train or val
ACH-000826,196,LUNG,train or val
ACH-001075,197,LUNG,train or val
ACH-000488,198,OESOPHAGUS,train or val
ACH-000242,199,URINARY_TRACT,train or val
ACH-000932,200,STOMACH,train or val
ACH-000949,201,STOMACH,train or val
ACH-000438,202,LUNG,train or val
ACH-000008,203,SKIN,train or val
ACH-000191,204,THYROID,train or val
ACH-000768,205,BREAST,train or val
ACH-000776,206,CENTRAL_NERVOUS_SYSTEM,train or val
ACH-000260,207,AUTONOMIC_GANGLIA,train or val
ACH-000802,208,URINARY_TRACT,train or val
ACH-000667,209,LUNG,train or val
ACH-000880,210,STOMACH,train or val
ACH-000486,211,URINARY_TRACT,train or val
ACH-000750,212,SKIN,train or val
ACH-000681,213,LUNG,train or val
ACH-000971,214,LARGE_INTESTINE,train or val
ACH-000943,215,LARGE_INTESTINE,train or val
ACH-000264,216,LUNG,train or val
ACH-000269,217,CENTRAL_NERVOUS_SYSTEM,train or val
ACH-000906,218,OVARY,train or val
ACH-000320,219,PANCREAS,train or val
ACH-000935,220,LARGE_INTESTINE,train or val
ACH-000651,221,LARGE_INTESTINE,train or val
ACH-000219,222,SKIN,held out
ACH-000065,223,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000311,224,LUNG,held out
ACH-000989,225,LARGE_INTESTINE,train or val
ACH-000414,226,LUNG,train or val
ACH-000007,227,LARGE_INTESTINE,train or val
ACH-000957,228,LARGE_INTESTINE,train or val
ACH-000849,229,BREAST,train or val
ACH-000132,230,OVARY,train or val
ACH-000840,231,LUNG,train or val
ACH-000778,232,UPPER_AERODIGESTIVE_TRACT,train or val
ACH-000794,233,UPPER_AERODIGESTIVE_TRACT,train or val
ACH-000835,234,SOFT_TISSUE,train or val
ACH-000627,235,LUNG,train or val
ACH-000410,236,BONE,train or val
ACH-000075,237,CENTRAL_NERVOUS_SYSTEM,train or val
ACH-000956,238,PROSTATE,train or val
ACH-000096,239,SOFT_TISSUE,train or val
ACH-000657,240,OVARY,train or val
ACH-000323,241,CENTRAL_NERVOUS_SYSTEM,train or val
ACH-000375,242,SOFT_TISSUE,train or val
ACH-000558,243,CENTRAL_NERVOUS_SYSTEM,train or val
ACH-000449,244,SOFT_TISSUE,train or val
ACH-000948,245,STOMACH,train or val
ACH-000238,246,UPPER_AERODIGESTIVE_TRACT,train or val
ACH-000169,247,SOFT_TISSUE,train or val
ACH-000858,248,LUNG,held out
ACH-000408,249,OESOPHAGUS,train or val
ACH-000023,250,PANCREAS,train or val
ACH-000174,251,THYROID,train or val
ACH-000430,252,OVARY,train or val
ACH-000841,253,LUNG,held out
ACH-000824,254,OESOPHAGUS,train or val
ACH-000654,255,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000815,256,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000896,257,URINARY_TRACT,train or val
ACH-000893,258,LUNG,train or val
ACH-000740,259,SALIVARY_GLAND,train or val
ACH-000900,260,LUNG,held out
ACH-000939,261,SOFT_TISSUE,train or val
ACH-000613,262,BONE,train or val
ACH-000756,263,CENTRAL_NERVOUS_SYSTEM,train or val
ACH-000655,264,CENTRAL_NERVOUS_SYSTEM,train or val
ACH-000250,265,KIDNEY,train or val
ACH-000670,266,LUNG,held out
ACH-000973,267,URINARY_TRACT,train or val
ACH-000048,268,OVARY,held out
ACH-000696,269,OVARY,train or val
ACH-000211,270,CENTRAL_NERVOUS_SYSTEM,held out
ACH-000856,271,BREAST,train or val
ACH-000903,272,THYROID,held out
ACH-000792,273,KIDNEY,train or val
ACH-000389,274,CENTRAL_NERVOUS_SYSTEM,train or val
ACH-001016,275,CENTRAL_NERVOUS_SYSTEM,train or val
ACH-000098,276,CENTRAL_NERVOUS_SYSTEM,train or val
ACH-000469,277,CENTRAL_NERVOUS_SYSTEM,train or val
ACH-000788,278,SKIN,train or val
ACH-000913,279,ENDOMETRIUM,train or val
ACH-000273,280,CENTRAL_NERVOUS_SYSTEM,train or val
ACH-000348,281,SKIN,train or val
ACH-000137,282,CENTRAL_NERVOUS_SYSTEM,train or val
ACH-000970,283,LARGE_INTESTINE,train or val
ACH-000456,284,THYROID,train or val
ACH-000855,285,OESOPHAGUS,train or val
ACH-000787,286,LUNG,train or val
ACH-000452,287,OESOPHAGUS,train or val
ACH-000999,288,LARGE_INTESTINE,train or val
ACH-000689,289,SOFT_TISSUE,train or val
ACH-000725,290,BREAST,train or val
ACH-000207,291,UPPER_AERODIGESTIVE_TRACT,train or val
ACH-000843,292,LUNG,train or val
ACH-000139,293,PANCREAS,train or val
ACH-000383,294,OESOPHAGUS,train or val
ACH-000781,295,LUNG,train or val
ACH-000243,296,PANCREAS,held out
ACH-000138,297,PANCREAS,train or val
ACH-000665,298,LUNG,train or val
ACH-000846,299,UPPER_AERODIGESTIVE_TRACT,train or val
ACH-000353,300,OESOPHAGUS,train or val
ACH-000911,301,STOMACH,train or val
ACH-000624,302,BREAST,train or val
ACH-000472,303,UPPER_AERODIGESTIVE_TRACT,train or val
ACH-000254,304,UPPER_AERODIGESTIVE_TRACT,train or val
ACH-000142,305,URINARY_TRACT,train or val
ACH-000305,306,OESOPHAGUS,train or val
ACH-000176,307,LUNG,held out
ACH-000518,308,UPPER_AERODIGESTIVE_TRACT,train or val
ACH-000905,309,URINARY_TRACT,train or val
ACH-000832,310,UPPER_AERODIGESTIVE_TRACT,train or val
ACH-000878,311,LUNG,train or val
ACH-000054,312,SOFT_TISSUE,train or val
ACH-000421,313,LARGE_INTESTINE,train or val
ACH-000291,314,OVARY,train or val
ACH-000825,315,LUNG,train or val
ACH-000652,316,PANCREAS,train or val
ACH-001307,317,THYROID,train or val
ACH-000716,318,THYROID,train or val
ACH-000434,319,LUNG,train or val
ACH-000475,320,LIVER,train or val
ACH-000447,321,LUNG,train or val
ACH-000704,322,OVARY,train or val
ACH-000879,323,ENDOMETRIUM,train or val
ACH-000677,324,LUNG,train or val
ACH-000091,325,OVARY,train or val
ACH-000212,326,BREAST,train or val
ACH-000153,327,PLEURA,train or val
ACH-000599,328,PANCREAS,train or val
ACH-000662,329,LUNG,train or val
ACH-000090,330,PROSTATE,train or val
ACH-000116,331,OVARY,train or val
ACH-000040,332,CENTRAL_NERVOUS_SYSTEM,train or val
ACH-000720,333,URINARY_TRACT,train or val
ACH-000738,334,CENTRAL_NERVOUS_SYSTEM,held out
ACH-000464,335,CENTRAL_NERVOUS_SYSTEM,train or val
ACH-000437,336,CENTRAL_NERVOUS_SYSTEM,train or val
ACH-000699,337,BREAST,train or val
ACH-000092,338,PLEURA,train or val
ACH-000288,339,BREAST,train or val
ACH-000148,340,BREAST,held out
ACH-000910,341,BREAST,train or val
ACH-000934,342,BREAST,train or val
ACH-000547,343,URINARY_TRACT,train or val
ACH-000633,344,STOMACH,train or val
ACH-000315,345,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000864,346,ENDOMETRIUM,train or val
ACH-000562,347,LUNG,train or val
ACH-000684,348,KIDNEY,train or val
ACH-000115,349,PROSTATE,train or val
ACH-000019,350,BREAST,train or val
ACH-000830,351,LUNG,train or val
ACH-000515,352,LUNG,train or val
ACH-000112,353,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000525,354,LUNG,train or val
ACH-000156,355,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,held out
ACH-000371,356,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000947,357,OVARY,train or val
ACH-000504,358,CENTRAL_NERVOUS_SYSTEM,train or val
ACH-000376,359,CENTRAL_NERVOUS_SYSTEM,train or val
ACH-000609,360,CENTRAL_NERVOUS_SYSTEM,train or val
ACH-000772,361,SOFT_TISSUE,held out
ACH-000394,362,LUNG,train or val
ACH-000922,363,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,held out
ACH-000056,364,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000196,365,BREAST,train or val
ACH-000287,366,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000365,367,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000357,368,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,held out
ACH-000714,369,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000369,370,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000702,371,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000981,372,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000004,373,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000020,374,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000210,375,BONE,train or val
ACH-000656,376,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000073,377,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000227,378,AUTONOMIC_GANGLIA,train or val
ACH-000149,379,AUTONOMIC_GANGLIA,train or val
ACH-000099,380,AUTONOMIC_GANGLIA,train or val
ACH-000078,381,AUTONOMIC_GANGLIA,train or val
ACH-000586,382,LUNG,train or val
ACH-000366,383,AUTONOMIC_GANGLIA,train or val
ACH-000002,384,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000770,385,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000006,386,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000157,387,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000745,388,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000050,389,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000380,390,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000995,391,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000763,392,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000611,393,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000847,394,STOMACH,train or val
ACH-000534,395,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000754,396,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000104,397,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000530,398,LUNG,train or val
ACH-000789,399,LUNG,train or val
ACH-000804,400,AUTONOMIC_GANGLIA,train or val
ACH-000257,401,LUNG,train or val
ACH-000358,402,LUNG,train or val
ACH-000749,403,LUNG,train or val
ACH-000800,404,LUNG,train or val
ACH-000729,405,LUNG,train or val
ACH-000129,406,LUNG,train or val
ACH-000980,407,LUNG,train or val
ACH-000866,408,LUNG,train or val
ACH-000187,409,LUNG,train or val
ACH-000817,410,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000816,411,LUNG,train or val
ACH-000290,412,LUNG,train or val
ACH-000052,413,BONE,train or val
ACH-000087,414,BONE,train or val
ACH-000334,415,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000874,416,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000960,417,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000660,418,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000607,419,SOFT_TISSUE,train or val
ACH-000751,420,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000372,421,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,held out
ACH-000567,422,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000838,423,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000786,424,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000440,425,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000162,426,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,held out
ACH-000271,427,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000355,428,LUNG,train or val
ACH-000245,429,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000944,430,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,held out
ACH-000953,431,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000226,432,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000806,433,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000639,434,LUNG,train or val
ACH-000055,435,CENTRAL_NERVOUS_SYSTEM,train or val
ACH-000937,436,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000636,437,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000697,438,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000106,439,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,held out
ACH-000346,440,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-001106,441,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,held out
ACH-000938,442,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000070,443,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000918,444,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,held out
ACH-000640,445,SKIN,train or val
ACH-000625,446,LIVER,train or val
ACH-000228,447,UPPER_AERODIGESTIVE_TRACT,train or val
ACH-000197,448,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000603,449,LUNG,train or val
ACH-000568,450,BREAST,train or val
ACH-000783,451,BREAST,train or val
ACH-000876,452,BREAST,train or val
ACH-000330,453,BREAST,train or val
ACH-000147,454,BREAST,train or val
ACH-000536,455,BREAST,train or val
ACH-000991,456,LARGE_INTESTINE,held out
ACH-000978,457,ENDOMETRIUM,train or val
ACH-000784,458,OESOPHAGUS,train or val
ACH-000668,459,BREAST,train or val
ACH-000859,460,BREAST,train or val
ACH-000061,461,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,train or val
ACH-000482,462,LUNG,train or val
ACH-000628,463,LUNG,train or val
ACH-000752,464,LUNG,held out
ACH-000107,465,PANCREAS,train or val
ACH-000420,466,LIVER,held out
ACH-000573,467,BREAST,train or val
ACH-000672,468,LUNG,train or val
ACH-000244,469,CENTRAL_NERVOUS_SYSTEM,train or val
ACH-000616,470,STOMACH,train or val
ACH-000009,471,LARGE_INTESTINE,train or val
ACH-000565,472,LARGE_INTESTINE,train or val
ACH-000042,473,PANCREAS,train or val
ACH-000060,474,PANCREAS,train or val
ACH-000118,475,PANCREAS,held out
ACH-000403,476,LARGE_INTESTINE,held out
ACH-000501,477,LARGE_INTESTINE,train or val
ACH-000888,478,LUNG,train or val
ACH-000332,479,PANCREAS,train or val
ACH-000451,480,LUNG,train or val
ACH-000648,481,PLEURA,train or val
ACH-000717,482,OESOPHAGUS,train or val
ACH-000181,483,UPPER_AERODIGESTIVE_TRACT,train or val
ACH-000308,484,OVARY,train or val
ACH-000811,485,OVARY,train or val
ACH-000035,486,LUNG,held out
ACH-000159,487,KIDNEY,train or val
ACH-000223,488,BREAST,train or val
ACH-000171,489,KIDNEY,held out
ACH-000417,490,PANCREAS,train or val
ACH-000852,491,LUNG,train or val
ACH-000114,492,PANCREAS,train or val
ACH-000863,493,CENTRAL_NERVOUS_SYSTEM,train or val
ACH-000505,494,SOFT_TISSUE,train or val
ACH-000595,495,CENTRAL_NERVOUS_SYSTEM,train or val
ACH-000617,496,OVARY,train or val
ACH-000853,497,LUNG,held out
ACH-000532,498,LARGE_INTESTINE,train or val
ACH-000489,499,LARGE_INTESTINE,train or val
ACH-000094,500,PANCREAS,train or val
ACH-000270,501,PANCREAS,held out
ACH-000691,502,BREAST,held out
ACH-000392,503,LUNG,train or val
ACH-000012,504,LUNG,train or val
ACH-000869,505,LUNG,train or val
ACH-000744,506,LUNG,train or val
ACH-000379,507,LUNG,train or val
ACH-000248,508,BREAST,train or val
ACH-000481,509,LUNG,train or val
ACH-000679,510,OESOPHAGUS,held out
ACH-000917,511,OESOPHAGUS,train or val
ACH-000998,512,LARGE_INTESTINE,train or val
ACH-000963,513,LARGE_INTESTINE,train or val
ACH-000637,514,OESOPHAGUS,train or val
ACH-000605,515,OESOPHAGUS,train or val
ACH-000374,516,BREAST,train or val
ACH-000766,517,LUNG,train or val
ACH-000161,518,LUNG,train or val
ACH-000427,519,STOMACH,train or val
ACH-000759,520,BREAST,train or val
ACH-000554,521,BREAST,train or val
ACH-000755,522,BREAST,train or val
ACH-000277,523,BREAST,train or val
ACH-000828,524,BREAST,train or val
ACH-000117,525,BREAST,train or val
ACH-000927,526,BREAST,held out
ACH-000818,527,BREAST,train or val
ACH-000178,528,PANCREAS,train or val
ACH-000235,529,PANCREAS,train or val
ACH-000733,530,LUNG,train or val
ACH-000875,531,LUNG,train or val
ACH-000951,532,LUNG,train or val
ACH-000574,533,OVARY,train or val
ACH-000719,534,OVARY,train or val
ACH-000443,535,OVARY,train or val
