cell_line,drug_name,pred_logIC50,case
HCC1395,Sepantronium bromide,-4.865446090698242,BREAST
HCC1419,Sepantronium bromide,-2.854282855987549,BREAST
MDA-MB-453,Sepantronium bromide,-3.559760570526123,BREAST
HDQ-P1,Sepantronium bromide,-4.689591884613037,BREAST
CAMA-1,Sepantronium bromide,-1.927314043045044,BREAST
HCC1954,Sepantronium bromide,-4.239067554473877,BREAST
EFM-192A,Sepantronium bromide,-3.6096725463867183,BREAST
MDA-MB-468,Sepantronium bromide,-4.741569995880127,BREAST
Hs 578T,Sepantronium bromide,-4.496376037597656,BREAST
HCC2218,Sepantronium bromide,-2.5855443477630615,BREAST
MDA-MB-361,Sepantronium bromide,-1.7302929162979126,BREAST
HCC70,Sepantronium bromide,-2.972874402999878,BREAST
BT-20,Sepantronium bromide,-4.926844596862793,BREAST
CAL-120,Sepantronium bromide,-4.265243053436279,BREAST
Du4475,Sepantronium bromide,-3.096830368041992,BREAST
HCC1569,Sepantronium bromide,-4.542494297027588,BREAST
CAL-51,Sepantronium bromide,-5.005870819091797,BREAST
HCC202,Sepantronium bromide,-3.3535619945060917,BREAST
MDA-MB-415,Sepantronium bromide,-1.2980363368988037,BREAST
HCC2157,Sepantronium bromide,-3.106335163116455,BREAST
HCC1143,Sepantronium bromide,-4.23266077041626,BREAST
HCC1428,Sepantronium bromide,-3.2190194129943848,BREAST
HCC1937,Sepantronium bromide,-4.700241565704346,BREAST
MDA-MB-157,Sepantronium bromide,-4.341590881347656,BREAST
MDA-MB-175-VII,Sepantronium bromide,-1.5952080488204956,BREAST
UACC-893,Sepantronium bromide,-2.8545539379119873,BREAST
EFM-19,Sepantronium bromide,-1.5904556512832642,BREAST
BT-483,Sepantronium bromide,-1.5228747129440308,BREAST
UACC-812,Sepantronium bromide,-1.2902814149856567,BREAST
HCC1500,Sepantronium bromide,-1.6653673648834229,BREAST
HCC1599,Sepantronium bromide,-3.039223909378052,BREAST
CAL-85-1,Sepantronium bromide,-4.525659561157227,BREAST
BT-474,Sepantronium bromide,-2.0041584968566895,BREAST
MDA-MB-231,Sepantronium bromide,-4.7063307762146,BREAST
ZR-75-30,Sepantronium bromide,-1.864020824432373,BREAST
T-47D,Sepantronium bromide,-3.0769855976104736,BREAST
HCC1187,Vinblastine,-4.454441547393799,BREAST
MDA-MB-436,Vinblastine,-4.235360622406006,BREAST
HCC1806,Vinblastine,-4.363675594329834,BREAST
BT-549,Vinblastine,-3.6714935302734375,BREAST
MCF7,Vinblastine,-4.076577186584473,BREAST
AU565,Vinblastine,-3.782519817352295,BREAST
HCC1395,Vinblastine,-3.486109733581543,BREAST
HCC1419,Vinblastine,-3.305854082107544,BREAST
MDA-MB-453,Vinblastine,-3.917938709259033,BREAST
HDQ-P1,Vinblastine,-2.7328743934631348,BREAST
CAMA-1,Vinblastine,-3.554426670074463,BREAST
HCC1954,Vinblastine,-3.1714730262756348,BREAST
EFM-192A,Vinblastine,-2.8776204586029053,BREAST
MDA-MB-468,Vinblastine,-2.8717472553253174,BREAST
Hs 578T,Vinblastine,-3.2688698768615723,BREAST
HCC2218,Vinblastine,-2.81863318907248,BREAST
MDA-MB-361,Vinblastine,-2.9018778800964355,BREAST
HCC70,Vinblastine,-2.3283987045288086,BREAST
BT-20,Vinblastine,-2.668240547180176,BREAST
CAL-120,Vinblastine,-2.4221253395080566,BREAST
Du4475,Vinblastine,-4.530020713806152,BREAST
HCC1569,Vinblastine,-2.81863318907248,BREAST
CAL-51,Vinblastine,-2.3429207801818848,BREAST
HCC202,Vinblastine,-2.81863318907248,BREAST
MDA-MB-415,Vinblastine,-2.0971877574920654,BREAST
HCC2157,Vinblastine,-3.3933191299438477,BREAST
HCC1143,Vinblastine,-2.227625608444214,BREAST
HCC1428,Vinblastine,-2.9664316177368164,BREAST
HCC1937,Vinblastine,-2.0235555171966553,BREAST
MDA-MB-157,Vinblastine,-3.0666816234588623,BREAST
MDA-MB-175-VII,Vinblastine,-1.8921403884887695,BREAST
UACC-893,Vinblastine,-2.81863318907248,BREAST
EFM-19,Vinblastine,-1.9429080486297607,BREAST
BT-483,Vinblastine,-2.122065305709839,BREAST
UACC-812,Vinblastine,-1.8337262868881223,BREAST
HCC1500,Vinblastine,-2.4145572185516357,BREAST
HCC1599,Vinblastine,-2.81863318907248,BREAST
CAL-85-1,Vinblastine,-1.307794451713562,BREAST
BT-474,Vinblastine,-1.7286686897277832,BREAST
MDA-MB-231,Vinblastine,-1.3268057107925415,BREAST
ZR-75-30,Vinblastine,-1.4909337759017944,BREAST
T-47D,Vinblastine,-1.4904603958129885,BREAST
HCC1187,Paclitaxel,-3.722761392593384,BREAST
MDA-MB-436,Paclitaxel,-3.710212469100952,BREAST
HCC1806,Paclitaxel,-3.76763653755188,BREAST
BT-549,Paclitaxel,-3.108565330505371,BREAST
MCF7,Paclitaxel,-3.2477774620056152,BREAST
AU565,Paclitaxel,-3.4861271381378174,BREAST
HCC1395,Paclitaxel,-2.961179494857788,BREAST
HCC1419,Paclitaxel,-2.866497039794922,BREAST
MDA-MB-453,Paclitaxel,-3.2154958248138428,BREAST
HDQ-P1,Paclitaxel,-2.2177462577819824,BREAST
CAMA-1,Paclitaxel,-2.9903085231781006,BREAST
HCC1954,Paclitaxel,-2.7389965057373047,BREAST
EFM-192A,Paclitaxel,-2.503754138946533,BREAST
MDA-MB-468,Paclitaxel,-2.316303014755249,BREAST
Hs 578T,Paclitaxel,-2.7135672569274902,BREAST
HCC2218,Paclitaxel,-3.0176687240600586,BREAST
MDA-MB-361,Paclitaxel,-2.49176025390625,BREAST
HCC70,Paclitaxel,-2.059058427810669,BREAST
BT-20,Paclitaxel,-2.0004143714904785,BREAST
CAL-120,Paclitaxel,-1.866013765335083,BREAST
Du4475,Paclitaxel,-2.971566915512085,BREAST
HCC1569,Paclitaxel,-2.641167163848877,BREAST
CAL-51,Paclitaxel,-1.7201483249664309,BREAST
HCC202,Paclitaxel,-2.291293350661673,BREAST
MDA-MB-415,Paclitaxel,-2.076857328414917,BREAST
HCC2157,Paclitaxel,-2.580183744430542,BREAST
HCC1143,Paclitaxel,-1.8187354803085327,BREAST
HCC1428,Paclitaxel,-2.380708932876587,BREAST
HCC1937,Paclitaxel,-1.4983941316604614,BREAST
MDA-MB-157,Paclitaxel,-2.232077121734619,BREAST
MDA-MB-175-VII,Paclitaxel,-1.9126741886138916,BREAST
UACC-893,Paclitaxel,-1.826101303100586,BREAST
EFM-19,Paclitaxel,-1.718924641609192,BREAST
BT-483,Paclitaxel,-1.6043133735656738,BREAST
UACC-812,Paclitaxel,-1.650191307067871,BREAST
HCC1500,Paclitaxel,-1.8274003267288208,BREAST
HCC1599,Paclitaxel,-1.3549381494522097,BREAST
CAL-85-1,Paclitaxel,-0.9116106033325196,BREAST
BT-474,Paclitaxel,-1.3939162492752075,BREAST
MDA-MB-231,Paclitaxel,-0.6462310552597046,BREAST
ZR-75-30,Paclitaxel,-1.0467743873596191,BREAST
T-47D,Paclitaxel,-1.1282687187194824,BREAST
HCC1187,Dinaciclib,-3.060131788253784,BREAST
MDA-MB-436,Dinaciclib,-3.154017686843872,BREAST
HCC1806,Dinaciclib,-3.051234483718872,BREAST
BT-549,Dinaciclib,-2.803384065628052,BREAST
MCF7,Dinaciclib,-2.4082930088043213,BREAST
AU565,Dinaciclib,-2.8941681385040283,BREAST
HCC1395,Dinaciclib,-2.2865070169036454,BREAST
HCC1419,Dinaciclib,-2.4930942058563232,BREAST
MDA-MB-453,Dinaciclib,-2.991610527038574,BREAST
HDQ-P1,Dinaciclib,-2.1308929920196533,BREAST
CAMA-1,Dinaciclib,-2.405031204223633,BREAST
HCC1954,Dinaciclib,-2.565725564956665,BREAST
EFM-192A,Dinaciclib,-2.5950613021850586,BREAST
MDA-MB-468,Dinaciclib,-2.4906082153320312,BREAST
Hs 578T,Dinaciclib,-2.7946460247039795,BREAST
HCC2218,Dinaciclib,-2.6070590019226074,BREAST
MDA-MB-361,Dinaciclib,-2.0211527347564697,BREAST
HCC70,Dinaciclib,-1.9561617374420168,BREAST
BT-20,Dinaciclib,-2.62378454208374,BREAST
CAL-120,Dinaciclib,-2.2230238914489746,BREAST
Du4475,Dinaciclib,-2.5567827224731445,BREAST
HCC1569,Dinaciclib,-2.631580352783203,BREAST
CAL-51,Dinaciclib,-1.9152193069458008,BREAST
HCC202,Dinaciclib,-2.2865070169036454,BREAST
MDA-MB-415,Dinaciclib,-1.9488344192504885,BREAST
HCC2157,Dinaciclib,-2.300663709640503,BREAST
HCC1143,Dinaciclib,-2.272536277770996,BREAST
HCC1428,Dinaciclib,-2.406041145324707,BREAST
HCC1937,Dinaciclib,-1.9981553554534912,BREAST
MDA-MB-157,Dinaciclib,-2.4982094764709473,BREAST
MDA-MB-175-VII,Dinaciclib,-2.2865070169036454,BREAST
UACC-893,Dinaciclib,-2.2366268634796143,BREAST
EFM-19,Dinaciclib,-1.8680932521820068,BREAST
BT-483,Dinaciclib,-2.2865070169036454,BREAST
UACC-812,Dinaciclib,-2.2865070169036454,BREAST
HCC1500,Dinaciclib,-1.8584020137786863,BREAST
HCC1599,Dinaciclib,-1.4996798038482666,BREAST
CAL-85-1,Dinaciclib,-1.2221049070358276,BREAST
BT-474,Dinaciclib,-1.7279127836227417,BREAST
MDA-MB-231,Dinaciclib,-1.228174924850464,BREAST
ZR-75-30,Dinaciclib,-1.5146641731262207,BREAST
T-47D,Dinaciclib,-1.64799702167511,BREAST
HCC1187,Vinorelbine,-3.867675304412842,BREAST
MDA-MB-436,Vinorelbine,-3.737761259078979,BREAST
HCC1806,Vinorelbine,-3.802890300750733,BREAST
BT-549,Vinorelbine,-3.058941125869751,BREAST
MCF7,Vinorelbine,-3.454829216003418,BREAST
AU565,Vinorelbine,-3.564460039138794,BREAST
HCC1395,Vinorelbine,-2.9051742553710938,BREAST
HCC1419,Vinorelbine,-2.9252946376800537,BREAST
MDA-MB-453,Vinorelbine,-3.3084421157836914,BREAST
HDQ-P1,Vinorelbine,-2.17519211769104,BREAST
CAMA-1,Vinorelbine,-3.059356927871704,BREAST
HCC1954,Vinorelbine,-2.7594921588897705,BREAST
EFM-192A,Vinorelbine,-2.519167900085449,BREAST
MDA-MB-468,Vinorelbine,-2.286867380142212,BREAST
Hs 578T,Vinorelbine,-2.6016416549682617,BREAST
HCC2218,Vinorelbine,-3.058443784713745,BREAST
MDA-MB-361,Vinorelbine,-2.556122064590454,BREAST
HCC70,Vinorelbine,-2.0238471031188965,BREAST
BT-20,Vinorelbine,-1.951832056045532,BREAST
CAL-120,Vinorelbine,-1.7775945663452148,BREAST
Du4475,Vinorelbine,-3.11651873588562,BREAST
HCC1569,Vinorelbine,-2.6276378631591797,BREAST
CAL-51,Vinorelbine,-1.6252989768981934,BREAST
HCC202,Vinorelbine,-2.284676961055616,BREAST
MDA-MB-415,Vinorelbine,-2.0224852561950684,BREAST
HCC2157,Vinorelbine,-2.660914897918701,BREAST
HCC1143,Vinorelbine,-1.7262428998947144,BREAST
HCC1428,Vinorelbine,-2.3918960094451904,BREAST
HCC1937,Vinorelbine,-1.390067458152771,BREAST
MDA-MB-157,Vinorelbine,-2.3303468227386475,BREAST
MDA-MB-175-VII,Vinorelbine,-1.8581793308258057,BREAST
UACC-893,Vinorelbine,-1.7162117958068848,BREAST
EFM-19,Vinorelbine,-1.7197216749191284,BREAST
BT-483,Vinorelbine,-1.6023119688034058,BREAST
UACC-812,Vinorelbine,-1.5612672567367554,BREAST
HCC1500,Vinorelbine,-1.7993732690811155,BREAST
HCC1599,Vinorelbine,-1.305466890335083,BREAST
CAL-85-1,Vinorelbine,-0.8134074211120605,BREAST
BT-474,Vinorelbine,-1.464529275894165,BREAST
MDA-MB-231,Vinorelbine,-0.4428869187831878,BREAST
ZR-75-30,Vinorelbine,-1.0247420072555542,BREAST
T-47D,Vinorelbine,-1.07722270488739,BREAST
HCC1187,Camptothecin,-3.3658125400543213,BREAST
MDA-MB-436,Camptothecin,-3.1884374618530273,BREAST
HCC1806,Camptothecin,-3.474311113357544,BREAST
BT-549,Camptothecin,-2.828686237335205,BREAST
MCF7,Camptothecin,-2.845872163772583,BREAST
AU565,Camptothecin,-2.2099435329437256,BREAST
HCC1395,Camptothecin,-1.9236133098602295,BREAST
HCC1419,Camptothecin,-1.7806339263916016,BREAST
MDA-MB-453,Camptothecin,-1.530361890792847,BREAST
HDQ-P1,Camptothecin,-2.509187936782837,BREAST
CAMA-1,Camptothecin,-1.9425454139709473,BREAST
HCC1954,Camptothecin,-1.6523209810256958,BREAST
EFM-192A,Camptothecin,-1.9318015575408936,BREAST
MDA-MB-468,Camptothecin,-1.8570274114608765,BREAST
Hs 578T,Camptothecin,-1.571684718132019,BREAST
HCC2218,Camptothecin,-1.938462734222412,BREAST
MDA-MB-361,Camptothecin,-2.43973445892334,BREAST
HCC70,Camptothecin,-2.6952438354492188,BREAST
BT-20,Camptothecin,-1.508904218673706,BREAST
CAL-120,Camptothecin,-1.896831750869751,BREAST
Du4475,Camptothecin,-0.6967579126358032,BREAST
HCC1569,Camptothecin,-1.1436803340911863,BREAST
CAL-51,Camptothecin,-1.473276972770691,BREAST
HCC202,Camptothecin,-1.7203962584821189,BREAST
MDA-MB-415,Camptothecin,-2.60986065864563,BREAST
HCC2157,Camptothecin,-1.3016867637634275,BREAST
HCC1143,Camptothecin,-1.5455116033554075,BREAST
HCC1428,Camptothecin,-1.1533244848251345,BREAST
HCC1937,Camptothecin,-1.4728505611419678,BREAST
MDA-MB-157,Camptothecin,-0.812701940536499,BREAST
MDA-MB-175-VII,Camptothecin,-1.942866802215576,BREAST
UACC-893,Camptothecin,-0.8341788053512573,BREAST
EFM-19,Camptothecin,-1.6597493886947632,BREAST
BT-483,Camptothecin,-1.6299540996551514,BREAST
UACC-812,Camptothecin,-1.7280538082122805,BREAST
HCC1500,Camptothecin,-1.3045731782913208,BREAST
HCC1599,Camptothecin,-1.3650866746902466,BREAST
CAL-85-1,Camptothecin,-0.8632177114486694,BREAST
BT-474,Camptothecin,-0.6707577705383301,BREAST
MDA-MB-231,Camptothecin,-0.4998305141925812,BREAST
ZR-75-30,Camptothecin,-0.6321187019348145,BREAST
T-47D,Camptothecin,-0.1047907173633575,BREAST
HCC1187,MG-132,-1.1748347282409668,BREAST
MDA-MB-436,MG-132,-1.3013547658920288,BREAST
HCC1806,MG-132,-1.27088725566864,BREAST
BT-549,MG-132,-1.2675065994262695,BREAST
MCF7,MG-132,-1.1678237915039062,BREAST
AU565,MG-132,-1.1580394506454468,BREAST
HCC1395,MG-132,-1.2585235834121704,BREAST
HCC1419,MG-132,-1.099759578704834,BREAST
MDA-MB-453,MG-132,-1.1576825380325315,BREAST
HDQ-P1,MG-132,-1.0599805116653442,BREAST
CAMA-1,MG-132,-0.973924160003662,BREAST
HCC1954,MG-132,-0.973296046257019,BREAST
EFM-192A,MG-132,-1.1150336265563965,BREAST
MDA-MB-468,MG-132,-1.0976316928863523,BREAST
Hs 578T,MG-132,-1.1062246561050415,BREAST
HCC2218,MG-132,-1.041042685508728,BREAST
MDA-MB-361,MG-132,-0.9664580821990968,BREAST
HCC70,MG-132,-1.0695456266403198,BREAST
BT-20,MG-132,-1.0581406354904177,BREAST
CAL-120,MG-132,-1.3054533004760742,BREAST
Du4475,MG-132,-1.0223486423492432,BREAST
HCC1569,MG-132,-0.9856975078582764,BREAST
CAL-51,MG-132,-1.120835542678833,BREAST
HCC202,MG-132,-0.8139357566833496,BREAST
MDA-MB-415,MG-132,-1.088164210319519,BREAST
HCC2157,MG-132,-0.8308086395263672,BREAST
HCC1143,MG-132,-1.095447301864624,BREAST
HCC1428,MG-132,-0.9045783281326294,BREAST
HCC1937,MG-132,-0.9561599493026732,BREAST
MDA-MB-157,MG-132,-0.8084328174591064,BREAST
MDA-MB-175-VII,MG-132,-1.005035161972046,BREAST
UACC-893,MG-132,-1.0862534046173096,BREAST
EFM-19,MG-132,-0.9373488426208496,BREAST
BT-483,MG-132,-0.9335814714431764,BREAST
UACC-812,MG-132,-0.7721434831619263,BREAST
HCC1500,MG-132,-0.8894526958465576,BREAST
HCC1599,MG-132,-0.7885942459106445,BREAST
CAL-85-1,MG-132,-0.7041102647781372,BREAST
BT-474,MG-132,-0.7235943078994751,BREAST
MDA-MB-231,MG-132,-0.9418290853500366,BREAST
ZR-75-30,MG-132,-0.7136439085006714,BREAST
T-47D,MG-132,-0.6661248207092285,BREAST
HCC1187,Dactolisib,-1.607714056968689,BREAST
MDA-MB-436,Dactolisib,-2.0846197605133057,BREAST
HCC1806,Dactolisib,-2.0377726554870605,BREAST
BT-549,Dactolisib,-1.8810136318206787,BREAST
MCF7,Dactolisib,-1.1275264024734497,BREAST
AU565,Dactolisib,-1.7892804145812988,BREAST
HCC1395,Dactolisib,-1.8055508136749268,BREAST
HCC1419,Dactolisib,-1.3651371002197266,BREAST
MDA-MB-453,Dactolisib,-1.0898187160491943,BREAST
HDQ-P1,Dactolisib,-1.3321411609649658,BREAST
CAMA-1,Dactolisib,-0.8150795698165894,BREAST
HCC1954,Dactolisib,-1.1827303171157837,BREAST
EFM-192A,Dactolisib,-1.3078536987304688,BREAST
MDA-MB-468,Dactolisib,-1.220119833946228,BREAST
Hs 578T,Dactolisib,-1.481857180595398,BREAST
HCC2218,Dactolisib,-1.1258182525634766,BREAST
MDA-MB-361,Dactolisib,-0.852249264717102,BREAST
HCC70,Dactolisib,-1.0685666799545288,BREAST
BT-20,Dactolisib,-1.1995007991790771,BREAST
CAL-120,Dactolisib,-1.4250248670578003,BREAST
Du4475,Dactolisib,-0.4003704488277435,BREAST
HCC1569,Dactolisib,-1.0963482856750488,BREAST
CAL-51,Dactolisib,-1.2907161712646484,BREAST
HCC202,Dactolisib,-0.9787316126067463,BREAST
MDA-MB-415,Dactolisib,-1.3296574354171753,BREAST
HCC2157,Dactolisib,-0.522887110710144,BREAST
HCC1143,Dactolisib,-1.05518639087677,BREAST
HCC1428,Dactolisib,-0.6231304407119751,BREAST
HCC1937,Dactolisib,-0.92336905002594,BREAST
MDA-MB-157,Dactolisib,-0.5573954582214355,BREAST
MDA-MB-175-VII,Dactolisib,-0.9635368585586548,BREAST
UACC-893,Dactolisib,-1.1717050075531006,BREAST
EFM-19,Dactolisib,-0.6739499568939209,BREAST
BT-483,Dactolisib,-0.3777402937412262,BREAST
UACC-812,Dactolisib,-0.2954277098178863,BREAST
HCC1500,Dactolisib,-0.2909621596336365,BREAST
HCC1599,Dactolisib,0.028372436761856,BREAST
CAL-85-1,Dactolisib,-0.3546681702136993,BREAST
BT-474,Dactolisib,0.1011185348033905,BREAST
MDA-MB-231,Dactolisib,-0.4908396899700165,BREAST
ZR-75-30,Dactolisib,-0.0499741733074188,BREAST
T-47D,Dactolisib,0.0097528994083404,BREAST
HCC1187,BI-2536,-2.718418836593628,BREAST
MDA-MB-436,BI-2536,-1.996384859085083,BREAST
HCC1806,BI-2536,-0.45011259011320165,BREAST
BT-549,BI-2536,-1.7061214447021484,BREAST
MCF7,BI-2536,-1.9511163234710691,BREAST
AU565,BI-2536,-0.45011259011320165,BREAST
HCC1395,BI-2536,-1.2350198030471802,BREAST
HCC1419,BI-2536,-1.6841009855270386,BREAST
MDA-MB-453,BI-2536,-1.5065478086471558,BREAST
HDQ-P1,BI-2536,-0.531661868095398,BREAST
CAMA-1,BI-2536,-1.5074611902236938,BREAST
HCC1954,BI-2536,-0.5594972372055054,BREAST
EFM-192A,BI-2536,-0.9006950855255127,BREAST
MDA-MB-468,BI-2536,-0.45011259011320165,BREAST
Hs 578T,BI-2536,-0.3896961510181427,BREAST
HCC2218,BI-2536,-1.3825167417526243,BREAST
MDA-MB-361,BI-2536,-0.9334129095077516,BREAST
HCC70,BI-2536,-0.3891613185405731,BREAST
BT-20,BI-2536,-0.45011259011320165,BREAST
CAL-120,BI-2536,-0.3447379171848297,BREAST
Du4475,BI-2536,-0.4795466363430023,BREAST
HCC1569,BI-2536,-0.3335429728031158,BREAST
CAL-51,BI-2536,-0.4164165556430816,BREAST
HCC202,BI-2536,-0.45011259011320165,BREAST
MDA-MB-415,BI-2536,-0.7340319156646729,BREAST
HCC2157,BI-2536,-0.6112421751022339,BREAST
HCC1143,BI-2536,0.0185526907444,BREAST
HCC1428,BI-2536,-0.0457875728607177,BREAST
HCC1937,BI-2536,0.3159848749637604,BREAST
MDA-MB-157,BI-2536,0.1169739663600921,BREAST
MDA-MB-175-VII,BI-2536,-0.1682702302932739,BREAST
UACC-893,BI-2536,0.0427692830562591,BREAST
EFM-19,BI-2536,-0.4399676620960235,BREAST
BT-483,BI-2536,0.1126420795917511,BREAST
UACC-812,BI-2536,0.123261958360672,BREAST
HCC1500,BI-2536,0.2982071936130523,BREAST
HCC1599,BI-2536,0.7043873071670532,BREAST
CAL-85-1,BI-2536,1.2135413885116575,BREAST
BT-474,BI-2536,0.1611076891422271,BREAST
MDA-MB-231,BI-2536,1.5738754272460938,BREAST
ZR-75-30,BI-2536,0.5566432476043701,BREAST
T-47D,BI-2536,1.073243260383606,BREAST
HCC1187,Gemcitabine,-2.930328607559204,BREAST
MDA-MB-436,Gemcitabine,-2.5059690475463867,BREAST
HCC1806,Gemcitabine,-3.1859657764434814,BREAST
BT-549,Gemcitabine,-2.033636569976806,BREAST
MCF7,Gemcitabine,-2.2420284748077393,BREAST
AU565,Gemcitabine,-1.211582899093628,BREAST
HCC1395,Gemcitabine,-0.4379567801952362,BREAST
HCC1419,Gemcitabine,-0.5161223411560059,BREAST
MDA-MB-453,Gemcitabine,0.9116119146347046,BREAST
HDQ-P1,Gemcitabine,-1.2383270263671875,BREAST
CAMA-1,Gemcitabine,-0.97445547580719,BREAST
HCC1954,Gemcitabine,-0.1763789653778076,BREAST
EFM-192A,Gemcitabine,-0.6102783679962158,BREAST
MDA-MB-468,Gemcitabine,-0.5804134607315063,BREAST
Hs 578T,Gemcitabine,0.3249618113040924,BREAST
HCC2218,Gemcitabine,-0.148449957370758,BREAST
MDA-MB-361,Gemcitabine,-1.4444533586502075,BREAST
HCC70,Gemcitabine,-1.7569012641906738,BREAST
BT-20,Gemcitabine,-0.1836471557617187,BREAST
CAL-120,Gemcitabine,-0.3896238505840301,BREAST
Du4475,Gemcitabine,1.4376099109649658,BREAST
HCC1569,Gemcitabine,0.7988771200180054,BREAST
CAL-51,Gemcitabine,-0.1977811157703399,BREAST
HCC202,Gemcitabine,-0.19743427997682153,BREAST
MDA-MB-415,Gemcitabine,-2.098710298538208,BREAST
HCC2157,Gemcitabine,0.3293798565864563,BREAST
HCC1143,Gemcitabine,0.0347238481044769,BREAST
HCC1428,Gemcitabine,1.1025923490524292,BREAST
HCC1937,Gemcitabine,-0.0045710206031799,BREAST
