cell_line,drug_name,pred_logIC50,case
T24,Dactolisib,-1.2659146785736084,URINARY_TRACT
J82,Dactolisib,-1.5272653102874756,URINARY_TRACT
RT-112,Dactolisib,-1.3827577829360962,URINARY_TRACT
SW 780,Dactolisib,-1.1019997596740725,URINARY_TRACT
5637,Dactolisib,-0.9551907777786256,URINARY_TRACT
647-V,Dactolisib,-0.5595097541809082,URINARY_TRACT
TCCSUP,Dactolisib,-0.8289083242416382,URINARY_TRACT
RT4,Dactolisib,-0.2185618281364441,URINARY_TRACT
639-V,SN-38,-4.541196823120117,URINARY_TRACT
KU-19-19,SN-38,-3.356886386871338,URINARY_TRACT
UM-UC-3,SN-38,-4.74948263168335,URINARY_TRACT
BFTC-905,SN-38,-3.0663933753967285,URINARY_TRACT
HT-1197,SN-38,-1.0603773253304618,URINARY_TRACT
CAL-29,SN-38,-3.2162652015686035,URINARY_TRACT
SW-1710,SN-38,-3.116382837295532,URINARY_TRACT
T24,SN-38,-1.7123634815216064,URINARY_TRACT
J82,SN-38,1.2854188680648804,URINARY_TRACT
RT-112,SN-38,2.0666260719299316,URINARY_TRACT
SW 780,SN-38,0.959614634513855,URINARY_TRACT
5637,SN-38,2.4211349487304688,URINARY_TRACT
647-V,SN-38,-0.2208412587642669,URINARY_TRACT
TCCSUP,SN-38,2.4065487384796143,URINARY_TRACT
RT4,SN-38,-0.0048138201236724,URINARY_TRACT
639-V,MG-132,-1.112953543663025,URINARY_TRACT
KU-19-19,MG-132,-1.0590070486068726,URINARY_TRACT
UM-UC-3,MG-132,-1.113602638244629,URINARY_TRACT
BFTC-905,MG-132,-0.9071193933486938,URINARY_TRACT
HT-1197,MG-132,-1.4715367555618286,URINARY_TRACT
CAL-29,MG-132,-1.0214236974716189,URINARY_TRACT
SW-1710,MG-132,-0.8660154342651367,URINARY_TRACT
T24,MG-132,-1.2190663814544678,URINARY_TRACT
J82,MG-132,-1.2318594455718994,URINARY_TRACT
RT-112,MG-132,-1.117868185043335,URINARY_TRACT
SW 780,MG-132,-1.0156596899032593,URINARY_TRACT
5637,MG-132,-1.149572491645813,URINARY_TRACT
647-V,MG-132,-0.8572477102279663,URINARY_TRACT
TCCSUP,MG-132,-0.9494487047195436,URINARY_TRACT
RT4,MG-132,-0.7344064712524414,URINARY_TRACT
639-V,BI-2536,-2.3546648025512695,URINARY_TRACT
KU-19-19,BI-2536,-1.5403586626052856,URINARY_TRACT
UM-UC-3,BI-2536,-1.6926462650299072,URINARY_TRACT
BFTC-905,BI-2536,-1.2646950483322144,URINARY_TRACT
HT-1197,BI-2536,-1.4007922410964966,URINARY_TRACT
CAL-29,BI-2536,-0.0978937298059463,URINARY_TRACT
SW-1710,BI-2536,-0.2893956899642944,URINARY_TRACT
T24,BI-2536,0.2407956421375274,URINARY_TRACT
J82,BI-2536,-0.5382025241851807,URINARY_TRACT
RT-112,BI-2536,-0.4262743890285492,URINARY_TRACT
SW 780,BI-2536,0.5125951766967773,URINARY_TRACT
5637,BI-2536,0.152164340019226,URINARY_TRACT
647-V,BI-2536,0.9580132961273192,URINARY_TRACT
TCCSUP,BI-2536,1.0216854810714722,URINARY_TRACT
RT4,BI-2536,1.3960977792739868,URINARY_TRACT
639-V,Epirubicin,-1.399922251701355,URINARY_TRACT
KU-19-19,Epirubicin,-1.1174309253692627,URINARY_TRACT
UM-UC-3,Epirubicin,-1.2050070762634275,URINARY_TRACT
BFTC-905,Epirubicin,-0.5182108879089355,URINARY_TRACT
HT-1197,Epirubicin,-1.2608003616333008,URINARY_TRACT
CAL-29,Epirubicin,-0.2078653872013092,URINARY_TRACT
SW-1710,Epirubicin,-0.1815379858016967,URINARY_TRACT
T24,Epirubicin,-0.2775618135929107,URINARY_TRACT
J82,Epirubicin,-0.1853214502334594,URINARY_TRACT
RT-112,Epirubicin,0.2273996174335479,URINARY_TRACT
SW 780,Epirubicin,0.1122142374515533,URINARY_TRACT
5637,Epirubicin,0.3791745603084564,URINARY_TRACT
647-V,Epirubicin,0.6482081413269043,URINARY_TRACT
TCCSUP,Epirubicin,0.5640572309494019,URINARY_TRACT
RT4,Epirubicin,0.4538969099521637,URINARY_TRACT
639-V,Tanespimycin,-0.0669524222612381,URINARY_TRACT
KU-19-19,Tanespimycin,-0.8809880018234253,URINARY_TRACT
UM-UC-3,Tanespimycin,0.2029625177383422,URINARY_TRACT
BFTC-905,Tanespimycin,-0.6376932859420776,URINARY_TRACT
HT-1197,Tanespimycin,-0.7792463302612305,URINARY_TRACT
CAL-29,Tanespimycin,-0.281129240989685,URINARY_TRACT
SW-1710,Tanespimycin,0.3333988785743713,URINARY_TRACT
T24,Tanespimycin,0.4103953242301941,URINARY_TRACT
J82,Tanespimycin,0.0789647698402404,URINARY_TRACT
RT-112,Tanespimycin,-0.9575687646865844,URINARY_TRACT
SW 780,Tanespimycin,-0.2375028729438781,URINARY_TRACT
5637,Tanespimycin,0.2143231034278869,URINARY_TRACT
647-V,Tanespimycin,0.5043860673904419,URINARY_TRACT
TCCSUP,Tanespimycin,0.4250929057598114,URINARY_TRACT
RT4,Tanespimycin,0.5399092435836792,URINARY_TRACT
