pubchem_id,x,y,drug_name,target_pathway,n_cells,response_sd,response_mean
11626560,9.402034,17.10016,Crizotinib,RTK signaling,534,1.5615704613869683,2.6575020131086147
118704762,-10.99385,14.223007,LJI308,PI3K/MTOR signaling,526,1.0963828864358887,5.057985403041825
216239,9.979541,-11.251198,Sorafenib,RTK signaling,528,1.1808386010440797,2.58270365530303
11364421,-5.872967,-0.4478653,BI-2536,Cell cycle,507,2.6458394197732926,-0.7636430078895464
46926973,5.0848613,-5.634927,LGK974,WNT signaling,533,1.1331334322669764,4.219667195121952
60838,-3.429016,11.338981,Irinotecan,DNA replication,533,1.9369064442351467,2.6247915178236396
5310940,-4.405355,-18.553509,Oxaliplatin,DNA replication,534,1.7432012471055087,3.8521984981273407
117072552,-1.9211121,-7.027841,GSK591,Chromatin histone methylation,526,1.2642665823460582,4.417970043726236
51000408,7.3886547,-10.418433,VE821,Genome integrity,524,1.6153644693807259,4.041250041984733
25124816,-7.9722247,-0.9544932,GSK1904529A,RTK signaling,533,1.12961888455481,4.385366964352721
5494449,-0.09049905,1.5224804,Tozasertib,Mitosis,138,2.3514591609117392,2.1630174999999996
59472121,6.861905,-11.822934,VE-822,Genome integrity,494,1.8287491582007829,3.1622942773279354
72200024,-5.2881393,-0.8314954,WZ4003,"Other, kinases",494,1.3924241974862852,4.169518342105263
42623951,3.2960324,-17.226982,CZC24832,PI3K/MTOR signaling,494,0.9681267234215898,5.176517619433198
49847690,-6.590895,-10.145387,AZD5582,Other,489,2.412277600043826,2.11320008997955
53469448,-7.124118,-14.791767,GSK2606414,Metabolism,490,1.2377753769271145,3.807165655102041
78243717,11.26955,-4.03447,PFI-3,Chromatin other,494,0.8522537309469203,5.422544649797572
24753719,4.5465407,3.9916992,PCI-34051,Chromatin histone acetylation,494,1.2872694347517057,4.441093714574898
57519544,4.74832,-6.1516113,Wnt-C59,WNT signaling,494,1.1383153868144227,4.3279583866396765
46943432,-9.82436,-6.5864544,I-BET-762,Chromatin other,494,1.6238575378270557,3.1885056639676117
9936746,-10.341537,-7.814347,OTX015,Chromatin other,494,1.9164345468635584,2.3238267368421055
71268957,-1.1304325,2.2410872,GSK343,Chromatin histone methylation,493,0.9059675382551946,2.89681362474645
60167849,5.936382,-3.0302203,ML323,Protein stability and degradation,493,1.0688166918152613,4.554027052738337
59473233,-11.583265,14.588767,Entospletinib,"Other, kinases",494,1.2016843528778718,3.7166739008097167
44462758,-2.7475364,-0.41063437,PRT062607,"Other, kinases",494,1.4052001181510343,3.2341359655870443
44631912,-3.5936067,3.6439626,Ribociclib,Cell cycle,528,1.2249513329921018,3.744082054924242
71299339,-3.6531503,-13.850766,AGI-6780,Metabolism,493,1.0908812774298187,4.3867857910750505
1018,11.117875,-2.9779952,Picolinici-acid,Other,493,0.8129822703978657,5.284205233265721
51371303,-13.628511,8.838921,PF-4708671,PI3K/MTOR signaling,138,1.0078037828905195,3.604232514492754
52918385,4.4467235,6.7630563,PRIMA-1MET,p53 pathway,496,1.8157685913263137,4.482320407258064
11609586,8.124255,-4.805863,Serdemetan,p53 pathway,525,1.259981707847574,3.848490074285714
44137675,8.804512,2.725727,AZD6482,PI3K/MTOR signaling,137,1.3593993720501223,3.468882291970803
42642645,-13.180249,4.100505,Foretinib,RTK signaling,525,1.3946783958229527,0.9632066342857143
46907787,-10.758098,-7.800342,JQ1,Chromatin other,525,2.033430406357393,2.1236166780952384
11455910,9.694273,-8.607879,TW 37,Apoptosis regulation,204,1.5484127097922222,1.4494319215686273
71271629,5.3331676,9.921335,PFI-1,Chromatin other,524,1.1273325929312366,4.087800746183206
54685215,15.588997,-2.8220906,IOX2,Other,103,0.9120254037508015,2.3286588252427185
9956119,-6.778298,2.398263,CHIR-99021,WNT signaling,103,1.5998924224862217,4.63998659223301
56962337,-14.064476,-14.156214,SGC0946,Chromatin histone methylation,524,0.8013419170079845,2.1121027251908395
176870,-12.455051,1.29006,Erlotinib,EGFR signaling,525,1.427628027995536,3.029442373333333
9931953,6.7573223,-13.209724,Rucaparib,Genome integrity,524,1.1205631582612878,4.02761681870229
24958200,8.702491,13.757126,Niraparib,Genome integrity,496,1.5275779120421067,4.1420341774193545
24856436,-4.1063504,1.3595848,MK-1775,Cell cycle,534,1.422886127546658,0.7302272696629213
46926350,-1.4108945,4.89573,Dinaciclib,Cell cycle,493,1.515908554233964,-2.577446261663286
60750,2.342366,20.62739,Gemcitabine,DNA replication,532,3.059745790654548,-0.6203711090225563
387447,4.1690106,-9.802161,Bortezomib,Protein stability and degradation,528,1.1295878315593755,-4.6974057386363635
16095342,-10.389714,3.194214,GSK269962A,Cytoskeleton,138,1.437130621974798,2.6235613913043476
9858940,-16.572302,14.014031,SB505124,RTK signaling,134,1.5268713920266308,3.5789203507462686
2733526,14.446085,-7.2404,Tamoxifen,Hormone-related,528,1.1840421856793384,3.9828160568181823
104741,0.018557848,-8.806739,Fulvestrant,Hormone-related,531,0.9313468459128289,3.116466516007533
56962336,-13.720762,-13.989234,EPZ004777,Chromatin histone methylation,533,0.9767703553849041,5.2259060600375244
44632017,4.9474597,4.757579,YK-4-279,Other,528,1.7165250715456737,2.379998943181818
637858,7.3950033,8.149692,Piperlongumine,Other,103,1.1852898538860566,2.218116349514563
6914657,0.48226914,-7.5216813,Daporinad,Metabolism,303,2.6917168733349635,-3.3432704686468644
9813758,4.5035934,-2.2988145,BMS-345541,"Other, kinases",495,1.3356538100429354,3.3298187030303033
25099184,13.33659,-14.201426,AZ960,"Other, kinases",496,1.719670429864248,2.017991614919355
51039095,3.3223045,3.3173435,AZD4547,RTK signaling,530,1.6339177901419517,3.143093358490566
24821094,-8.998217,-15.025816,Ibrutinib,"Other, kinases",491,1.8023923140179487,4.1951038187372705
70983932,-4.2808237,-7.9215817,GSK2830371,Other,427,1.1437944502977453,5.5181057096018735
46236925,15.083649,-3.3528786,Sabutoclax,Apoptosis regulation,493,1.2888000214007094,-0.3104102292089249
11655119,-12.021664,5.871032,LY2109761,Other,493,1.0293392940336723,5.083439310344827
35397514,5.6577706,9.477489,OF-1,Chromatin histone acetylation,494,1.1955155589587196,4.13450056680162
2802462,-4.9640656,16.30706,MN-64,WNT signaling,494,1.0466749487857065,4.7149460688259115
73555129,-13.086139,-3.1438358,KRAS (G12C) Inhibitor-12,ERK MAPK signaling,494,1.5809636681234749,4.508478562753037
462382,3.5997477,-9.724056,MG-132,Protein stability and degradation,536,0.7169783931030037,-1.2533843414179104
11707110,-18.205389,-4.828733,Trametinib,ERK MAPK signaling,534,2.30976803077739,0.06709997565543072
44462760,3.9109058,-16.906763,Dabrafenib,ERK MAPK signaling,526,1.9514371177078553,4.253804404942965
5394,10.511778,6.5875907,Temozolomide,DNA replication,533,1.3071653381044737,6.396911452157599
5460769,-14.991588,-15.589902,Bleomycin (50 uM),DNA replication,427,2.157077900910516,3.5429329929742384
49846579,-7.8577857,6.9898725,Venotoclax,Apoptosis regulation,528,2.124021101550786,2.423409683712121
11228183,-6.41663,6.778826,ABT737,Apoptosis regulation,527,2.0378408062433175,1.8873434307400379
46843057,0.24527797,-12.739047,Afuresertib,PI3K/MTOR signaling,528,1.51466516794252,2.4490827859848485
56645356,-3.2444046,-8.687593,AGI-5198,Metabolism,528,0.9209881646671227,4.739687441287878
78209992,-11.729669,-0.977514,AZD3759,EGFR signaling,533,1.0418052189532945,2.6172177786116326
54761306,-9.794236,10.310195,AZD6738,Genome integrity,528,1.511832396233252,2.1234349981060605
52913813,-6.902242,13.554963,AZD8186,PI3K/MTOR signaling,528,1.4695283340460616,3.1746730643939394
71496458,-8.3113985,-0.19895773,Osimertinib,EGFR signaling,527,1.2798460343547882,1.7370254857685008
9933475,-15.576549,3.8325243,Cediranib,RTK signaling,528,1.1843702011972614,2.383959857954545
24788740,-10.676161,-3.9190803,Ipatasertib,PI3K/MTOR signaling,528,1.472228346799647,3.4319963825757576
56941241,15.598117,-8.941304,GDC0810,Hormone-related,528,0.9649787028335509,5.117712524621211
70676303,-12.3624,12.0610895,GNE-317,PI3K/MTOR signaling,517,1.3254789250301717,0.7347630367504835
68107965,4.6616397,-7.3536706,GSK2578215A,"Other, kinases",528,0.9534795144844769,5.0141169337121205
91668541,-5.444932,-14.593533,I-BRD9,Chromatin other,528,1.28349124142979,4.447741742424242
10385095,9.992615,-7.239057,Telomerase Inhibitor IX,Genome integrity,528,1.2489461329347107,0.7170728049242424
227681,7.8547254,7.2351594,MIRA-1,p53 pathway,533,1.264907731374646,5.348006454033771
9825149,-8.187551,-14.863896,NVP-ADW742,IGF1R signaling,528,1.456405437000172,2.9427568143939395
46931953,9.68614,-15.177513,P22077,Protein stability and degradation,528,1.4920105629137101,4.464993727272727
68289010,-12.844734,16.362007,AZD6094,RTK signaling,528,1.2639722080678064,2.7142758636363635
992586,16.913645,-3.5648983,UMI-77,Apoptosis regulation,431,1.3536858329174943,3.0421132575406036
2984337,5.21218,1.0973456,WIKI4,WNT signaling,527,0.9789690525261459,3.7566525502846297
11178236,5.9669175,0.19116084,Sepantronium bromide,Apoptosis regulation,528,1.7046617709036473,-4.05878603219697
71297207,1.7063601,-2.2718403,WEHI-539,Apoptosis regulation,529,1.6990923454450113,3.701953402646503
104842,-2.9212787,11.840476,SN-38,DNA replication,525,3.6865467426099894,-1.9333740685714287
2375,10.535347,-12.832557,Bicalutamide,Hormone-related,103,0.9398187680961304,4.583172378640777
25126798,7.763993,17.647528,Ruxolitinib,"Other, kinases",500,1.217281241167848,4.865438532
11640390,0.57448167,9.850352,Linsitinib,IGF1R signaling,534,1.310179303784818,4.054292138576779
41867,-1.4639902,17.686808,Epirubicin,DNA replication,528,1.7518371482657291,-0.7219744659090909
2907,13.18783,14.799877,Cyclophosphamide,DNA replication,528,0.9188938956992819,5.310927784090909
24360,-2.1506286,11.756489,Camptothecin,DNA replication,535,1.8867095133178002,-2.16583121682243
6710780,15.484305,10.470969,Vinblastine,Mitosis,429,2.273884007678686,-3.2902222773892773
84691,12.035638,-1.1978397,Cisplatin,DNA replication,442,1.9067382052964772,3.3359628755656106
6253,2.5457027,20.865019,Cytarabine,Other,431,2.2881634949631686,1.6756039489559165
148124,18.484684,5.6003065,Docetaxel,Mitosis,534,1.610548224977333,-4.221585104868914
126941,4.041397,-12.094827,Methotrexate,DNA replication,493,2.4432662388217565,0.27395819269776867
444795,10.577994,10.923503,Tretinoin,Other,103,1.0512203358894139,4.840904165048544
123631,-13.490776,2.4106832,Gefitinib,EGFR signaling,528,1.1672708750119376,3.2474758636363634
24978538,-6.9018273,6.664686,Navitoclax,Apoptosis regulation,534,1.9771644925241114,1.7333701067415732
5311,11.914251,-6.6895046,Vorinostat,Chromatin histone acetylation,529,1.1164916500876145,1.5574157958412096
644241,3.1343846,-5.6890516,Nilotinib,ABL signaling,526,1.8229431638301143,3.355209237642586
44182295,-17.422297,-6.347693,Refametinib,ERK MAPK signaling,523,1.9343820553087727,2.095426961759082
6918289,-3.9321933,22.69619,Temsirolimus,PI3K/MTOR signaling,514,1.7304270388309018,1.0509132548638132
23725625,0.8238523,4.2203155,Olaparib,Genome integrity,534,1.310726411548318,4.290590417602996
11960529,9.275946,12.999347,Veliparib,Genome integrity,525,0.9295250911187077,5.313209563809524
5328940,-14.907648,2.2918692,Bosutinib,"Other, kinases",525,1.6272405827587226,2.6555178
216326,5.9990864,13.874962,Lenalidomide,Protein stability and degradation,525,1.0453145998196751,5.311154617142857
6450551,9.99039,-2.4576137,Axitinib,RTK signaling,530,1.665741964631324,3.022354349056604
11152667,-2.6458714,-10.234968,AZD7762,Cell cycle,531,1.5372417548984545,0.22184402448210924
9943465,0.6832404,14.437304,GW441756,RTK signaling,528,0.975139290120933,3.4502580284090905
